Date,City,temp_max,temp_min,precipitation,wind_speed
2018-11-15,Delhi,26.7,16.3,0.6,19.2
2018-11-16,Delhi,25.3,14.4,0.0,20.4
2018-11-17,Delhi,25.0,13.9,0.0,12.8
2018-11-18,Delhi,26.8,14.2,0.0,10.0
2018-11-19,Delhi,26.5,16.8,0.0,13.8
2018-11-20,Delhi,27.2,15.6,0.0,12.2
2018-11-21,Delhi,26.7,14.6,0.0,14.8
2018-11-22,Delhi,26.6,12.4,0.0,9.2
2018-11-23,Delhi,26.3,12.8,0.0,19.6
2018-11-24,Delhi,26.0,14.4,0.0,21.3
2018-11-25,Delhi,25.1,12.0,0.0,10.9
2018-11-26,Delhi,25.5,10.9,0.0,14.1
2018-11-27,Delhi,25.2,11.8,0.0,10.2
2018-11-28,Delhi,25.2,14.6,0.0,8.1
2018-11-29,Delhi,25.5,13.5,0.0,11.2
2018-11-30,Delhi,25.8,12.6,0.0,14.6
2018-12-01,Delhi,24.8,12.2,0.0,13.0
2018-12-02,Delhi,24.3,11.1,0.0,9.4
2018-12-03,Delhi,23.9,10.2,0.0,8.9
2018-12-04,Delhi,23.4,12.6,0.0,10.3
2018-12-05,Delhi,22.9,9.9,0.0,9.8
2018-12-06,Delhi,23.0,12.4,0.0,10.5
2018-12-07,Delhi,22.9,10.6,0.0,14.1
2018-12-08,Delhi,23.0,9.4,0.0,11.0
2018-12-09,Delhi,22.5,11.1,0.0,11.2
2018-12-10,Delhi,22.2,9.9,0.1,11.3
2018-12-11,Delhi,21.5,9.4,0.0,9.6
2018-12-12,Delhi,18.3,11.4,0.8,15.3
2018-12-13,Delhi,19.5,10.2,0.1,9.7
2018-12-14,Delhi,20.1,9.4,0.0,11.2
2018-12-15,Delhi,20.8,8.7,0.0,14.8
2018-12-16,Delhi,20.8,8.0,0.0,10.7
2018-12-17,Delhi,20.6,7.3,0.0,12.9
2018-12-18,Delhi,20.4,7.1,0.0,14.0
2018-12-19,Delhi,20.3,6.8,0.0,11.3
2018-12-20,Delhi,20.3,5.9,0.0,10.8
2018-12-21,Delhi,20.0,6.2,0.0,10.5
2018-12-22,Delhi,19.5,5.8,0.0,11.1
2018-12-23,Delhi,19.8,6.1,0.0,10.8
2018-12-24,Delhi,20.4,6.1,0.0,10.6
2018-12-25,Delhi,19.6,6.1,0.0,15.8
2018-12-26,Delhi,19.0,5.6,0.0,10.4
2018-12-27,Delhi,18.8,5.2,0.0,11.4
2018-12-28,Delhi,18.3,6.2,0.0,19.1
2018-12-29,Delhi,19.1,5.0,0.0,13.8
2018-12-30,Delhi,19.6,4.8,0.0,7.3
2018-12-31,Delhi,20.7,5.3,0.0,12.3
2019-01-01,Delhi,20.1,5.9,0.0,10.2
2019-01-02,Delhi,21.0,7.6,0.0,10.5
2019-01-03,Delhi,20.6,7.5,0.0,14.9
2019-01-04,Delhi,18.8,7.1,0.0,12.4
2019-01-05,Delhi,20.5,7.8,0.0,18.1
2019-01-06,Delhi,18.1,9.2,2.3,16.6
2019-01-07,Delhi,19.0,7.7,0.0,10.5
2019-01-08,Delhi,18.3,7.5,0.0,14.6
2019-01-09,Delhi,19.3,8.0,0.0,18.0
2019-01-10,Delhi,19.4,6.1,0.0,11.4
2019-01-11,Delhi,19.4,6.2,0.0,10.8
2019-01-12,Delhi,19.8,8.5,0.0,10.2
2019-01-13,Delhi,20.9,9.4,0.0,13.2
2019-01-14,Delhi,18.1,8.0,0.0,20.9
2019-01-15,Delhi,18.7,6.5,0.0,17.1
2019-01-16,Delhi,18.9,6.4,0.0,9.4
2019-01-17,Delhi,20.0,7.6,0.0,9.7
2019-01-18,Delhi,20.3,5.7,0.0,10.8
2019-01-19,Delhi,22.6,7.1,0.0,9.7
2019-01-20,Delhi,24.8,11.8,0.0,9.0
2019-01-21,Delhi,20.8,12.9,6.5,23.2
2019-01-22,Delhi,19.5,11.6,16.9,24.8
2019-01-23,Delhi,18.5,8.4,0.1,9.2
2019-01-24,Delhi,19.5,9.7,0.3,13.0
2019-01-25,Delhi,17.0,8.8,0.1,11.4
2019-01-26,Delhi,17.2,6.9,0.0,12.9
2019-01-27,Delhi,16.1,5.3,0.0,17.6
2019-01-28,Delhi,17.0,6.0,0.0,17.8
2019-01-29,Delhi,18.1,5.8,0.0,15.6
2019-01-30,Delhi,18.5,6.2,0.0,11.4
2019-01-31,Delhi,18.5,7.3,0.6,17.9
2019-02-01,Delhi,19.2,10.8,0.2,18.0
2019-02-02,Delhi,19.4,7.8,0.0,12.5
2019-02-03,Delhi,19.9,7.6,0.0,11.9
2019-02-04,Delhi,20.8,7.4,0.0,9.0
2019-02-05,Delhi,22.0,9.6,0.0,11.0
2019-02-06,Delhi,23.1,13.6,9.1,19.6
2019-02-07,Delhi,20.1,12.1,12.7,27.2
2019-02-08,Delhi,18.5,7.8,0.0,14.3
2019-02-09,Delhi,18.8,8.1,0.0,17.1
2019-02-10,Delhi,18.3,6.7,0.5,10.2
2019-02-11,Delhi,19.2,7.6,0.0,10.2
2019-02-12,Delhi,21.3,10.4,0.0,9.3
2019-02-13,Delhi,23.5,10.2,0.4,10.3
2019-02-14,Delhi,20.4,13.6,4.0,22.9
2019-02-15,Delhi,20.6,12.7,4.5,14.2
2019-02-16,Delhi,19.2,10.4,0.1,15.3
2019-02-17,Delhi,20.6,10.6,0.0,16.3
2019-02-18,Delhi,22.5,9.8,0.1,20.7
2019-02-19,Delhi,22.0,12.4,0.0,12.6
2019-02-20,Delhi,20.5,14.8,2.6,18.4
2019-02-21,Delhi,25.4,14.1,0.0,17.6
2019-02-22,Delhi,22.7,13.2,0.4,20.1
2019-02-23,Delhi,21.5,10.4,0.0,20.2
2019-02-24,Delhi,22.0,10.8,0.2,12.3
2019-02-25,Delhi,22.2,9.9,0.0,11.9
2019-02-26,Delhi,21.4,11.9,2.8,17.1
2019-02-27,Delhi,17.5,9.8,11.2,12.2
2019-02-28,Delhi,19.3,7.3,0.0,16.8
2019-03-01,Delhi,21.1,7.2,0.0,12.0
2019-03-02,Delhi,20.9,11.4,6.8,12.6
2019-03-03,Delhi,21.5,11.1,4.1,13.8
2019-03-04,Delhi,22.5,11.8,0.2,12.9
2019-03-05,Delhi,21.9,11.7,0.0,14.3
2019-03-06,Delhi,23.2,10.9,0.0,19.7
2019-03-07,Delhi,23.9,10.2,0.0,11.3
2019-03-08,Delhi,24.2,11.8,0.0,13.4
2019-03-09,Delhi,25.1,12.6,0.0,17.9
2019-03-10,Delhi,24.7,11.3,0.0,12.0
2019-03-11,Delhi,26.4,14.5,1.7,24.2
2019-03-12,Delhi,26.6,13.0,0.0,16.4
2019-03-13,Delhi,23.2,13.1,0.0,10.1
2019-03-14,Delhi,24.2,12.1,0.3,23.7
2019-03-15,Delhi,25.1,11.8,0.0,15.5
2019-03-16,Delhi,25.3,12.1,0.0,12.5
2019-03-17,Delhi,26.5,12.9,0.0,13.0
2019-03-18,Delhi,27.2,12.3,0.0,12.1
2019-03-19,Delhi,29.5,13.9,0.0,12.7
2019-03-20,Delhi,30.7,18.2,0.0,20.4
2019-03-21,Delhi,30.3,15.1,0.0,15.5
2019-03-22,Delhi,29.0,16.0,0.0,21.0
2019-03-23,Delhi,30.0,15.7,0.0,23.9
2019-03-24,Delhi,31.2,18.4,0.0,17.0
2019-03-25,Delhi,28.4,17.3,0.5,17.2
2019-03-26,Delhi,29.9,15.4,0.0,17.9
2019-03-27,Delhi,31.0,15.3,0.0,13.5
2019-03-28,Delhi,33.8,18.4,0.0,12.1
2019-03-29,Delhi,35.8,19.0,0.0,12.8
2019-03-30,Delhi,35.9,20.2,0.0,19.6
2019-03-31,Delhi,34.4,19.4,0.0,22.5
2019-04-01,Delhi,33.5,18.4,0.0,21.3
2019-04-02,Delhi,33.5,18.4,0.0,13.6
2019-04-03,Delhi,35.0,18.1,0.0,13.0
2019-04-04,Delhi,36.3,18.8,0.0,11.2
2019-04-05,Delhi,37.8,21.6,0.0,20.2
2019-04-06,Delhi,37.7,21.3,0.0,31.2
2019-04-07,Delhi,35.0,21.6,0.0,15.4
2019-04-08,Delhi,35.2,21.3,0.2,22.9
2019-04-09,Delhi,36.7,20.2,0.0,14.2
2019-04-10,Delhi,37.5,21.5,0.0,17.2
2019-04-11,Delhi,37.8,23.8,0.0,12.5
2019-04-12,Delhi,37.2,22.5,0.0,17.7
2019-04-13,Delhi,36.8,22.5,0.0,18.3
2019-04-14,Delhi,37.6,23.9,0.0,19.6
2019-04-15,Delhi,38.5,24.0,0.0,16.8
2019-04-16,Delhi,31.0,22.4,0.5,19.5
2019-04-17,Delhi,25.9,18.9,4.6,19.8
2019-04-18,Delhi,27.9,16.4,0.1,9.4
2019-04-19,Delhi,29.9,18.5,0.1,12.3
2019-04-20,Delhi,32.8,19.6,0.0,12.8
2019-04-21,Delhi,35.3,20.0,0.0,18.4
2019-04-22,Delhi,37.3,21.8,0.0,16.4
2019-04-23,Delhi,39.1,23.9,0.0,18.5
2019-04-24,Delhi,40.2,25.3,0.0,18.6
2019-04-25,Delhi,39.3,27.0,0.0,18.4
2019-04-26,Delhi,40.0,25.2,0.0,19.6
2019-04-27,Delhi,40.2,26.8,0.0,29.4
2019-04-28,Delhi,40.8,26.1,0.0,24.9
2019-04-29,Delhi,40.7,25.8,0.0,14.7
2019-04-30,Delhi,41.5,25.5,0.0,22.9
2019-05-01,Delhi,40.7,24.5,0.0,12.4
2019-05-02,Delhi,37.7,26.6,0.5,21.7
2019-05-03,Delhi,37.5,24.6,0.0,18.1
2019-05-04,Delhi,38.0,24.0,0.0,22.5
2019-05-05,Delhi,38.7,23.0,0.0,24.2
2019-05-06,Delhi,40.1,23.5,0.0,21.4
2019-05-07,Delhi,40.0,23.3,0.0,22.1
2019-05-08,Delhi,41.5,26.0,0.0,23.8
2019-05-09,Delhi,41.1,27.0,0.0,23.9
2019-05-10,Delhi,40.3,29.5,0.0,24.8
2019-05-11,Delhi,38.5,24.9,0.0,24.9
